ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Beat,District,Gnome,Flamingo
11753198,JC342594,07/02/2019 11:30:00 PM,079XX S RHODES AVE,890,THEFT,FROM BUILDING,RESIDENCE PORCH/HALLWAY,624,6,False,False
11743412,JC331338,07/02/2019 08:00:00 AM,009XX N CHRISTIANA AVE,485,BATTERY,AGGRAVATED OF A CHILD,OTHER,1121,11,False,False
11745042,JC333400,07/02/2019 07:00:00 PM,004XX W BELDEN AVE,810,THEFT,OVER $500,STREET,1812,18,False,False
11750575,JC340034,07/01/2019 01:00:00 AM,031XX W ROSCOE ST,810,THEFT,OVER $500,RESIDENCE-GARAGE,1733,17,False,False
11750833,JC339764,03/26/2019 04:30:00 PM,002XX S CLARK ST,820,THEFT,$500 AND UNDER,RESTAURANT,122,1,False,False
11742656,JC330500,07/01/2019 02:34:00 PM,010XX W VAN BUREN ST,820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,1232,12,False,False
11745040,JC332579,07/01/2019 05:00:00 PM,013XX N Wells St,810,THEFT,OVER $500,RESIDENCE-GARAGE,1821,18,False,False
11749639,JC338991,06/22/2019 06:30:00 PM,011XX W CORNELIA AVE,890,THEFT,FROM BUILDING,APARTMENT,1924,19,False,False
11742688,JC330435,07/01/2019 01:00:00 PM,063XX N BELL AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,2413,24,False,False
11743907,JC331181,07/01/2019 07:50:00 AM,037XX W AINSLIE ST,820,THEFT,$500 AND UNDER,RESIDENCE,1712,17,False,False
11743929,JC331176,07/01/2019 02:16:00 AM,033XX W EASTWOOD AVE,820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,1713,17,False,False
11741382,JC328464,06/30/2019 12:30:00 AM,029XX N ALLEN AVE,820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),1412,14,False,False
11743911,JC331380,06/30/2019 09:00:00 PM,015XX W ELMDALE AVE,820,THEFT,$500 AND UNDER,STREET,2013,20,False,False
11741399,JC328460,06/29/2019 05:17:00 PM,078XX S DR MARTIN LUTHER KING JR DR,820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,624,6,False,False
